"","first_name","last_name","player_position","games_played","wins","shots_against","gaa","saves","save_pct","shutouts"
"1","Martin","Brodeur","G",39,19,971,2.51,875,0.901,3
"2","Nikolai","Khabibulin","G",4,1,74,5,60,0.811,0
"3","Tim","Thomas","G",48,18,1390,2.88,1262,0.908,0
"4","Evgeni","Nabokov","G",40,15,1085,2.74,982,0.905,4
"5","Jean-Sebastien","Giguere","G",22,11,608,2.62,555,0.913,2
"6","Martin","Biron","G",2,0,38,7.61,29,0.763,0
"7","Roberto","Luongo","G",56,25,1589,2.4,1460,0.919,4
"8","Scott","Clemmensen","G",17,6,454,3.09,407,0.896,0
"9","Jason","LaBarbera","G",7,1,146,3.28,127,0.87,0
"10","Craig","Anderson","G",53,25,1680,3,1530,0.911,4
"11","Ryan","Miller","G",59,25,1885,2.64,1731,0.918,1
"12","Ilya","Bryzgalov","G",32,12,891,2.68,810,0.909,4
"13","Dan","Ellis","G",20,5,514,3.62,452,0.879,1
"14","Henrik","Lundqvist","G",63,33,1810,2.36,1666,0.92,5
"15","Peter","Budaj","G",24,10,615,2.51,559,0.909,1
"16","Ray","Emery","G",28,9,711,2.96,642,0.903,2
"17","Drew","MacIntyre","G",2,0,51,2.53,47,0.922,0
"18","Mike","Smith","G",62,27,1871,2.64,1712,0.915,3
"19","Joey","MacDonald","G",11,5,264,2.9,235,0.89,0
"20","Mike","McKenna","G",4,1,114,3.01,103,0.904,0
"21","Kari","Lehtonen","G",65,33,1888,2.41,1735,0.919,5
"22","Curtis","McElhinney","G",28,10,703,2.7,639,0.909,2
"23","Josh","Harding","G",29,18,690,1.65,644,0.933,3
"24","Cam","Ward","G",30,10,824,3.06,740,0.898,0
"25","Marc-Andre","Fleury","G",64,39,1774,2.37,1624,0.915,5
"26","Corey","Crawford","G",59,32,1533,2.26,1405,0.917,2
"27","Jimmy","Howard","G",51,21,1482,2.66,1349,0.91,2
"28","Jaroslav","Halak","G",52,29,1385,2.25,1275,0.921,5
"29","Brian","Elliott","G",31,18,681,1.96,628,0.922,4
"30","Al","Montoya","G",28,13,737,2.3,678,0.92,2
"31","Devan","Dubnyk","G",34,11,945,3.43,842,0.891,2
"32","Cory","Schneider","G",45,16,1107,1.97,1019,0.921,3
"33","Justin","Peters","G",21,7,626,2.5,575,0.919,1
"34","Thomas","Greiss","G",25,10,626,2.29,576,0.92,2
"35","Karri","Ramo","G",40,17,1091,2.65,994,0.911,2
"36","Anton","Khudobin","G",36,19,1076,2.3,996,0.926,1
"37","Pekka","Rinne","G",24,10,645,2.77,582,0.902,2
"38","Carey","Price","G",59,34,1828,2.32,1694,0.927,6
"39","Tuukka","Rask","G",58,36,1641,2.04,1526,0.93,7
"40","Ondrej","Pavelec","G",57,22,1644,3.01,1481,0.901,1
"41","Jonathan","Quick","G",49,27,1183,2.07,1083,0.915,6
"42","Ben","Bishop","G",63,37,1758,2.23,1625,0.924,5
"43","Alex","Stalock","G",24,12,571,1.87,532,0.932,2
"44","Niklas","Backstrom","G",21,5,546,3.02,491,0.899,0
"45","Chad","Johnson","G",27,17,708,2.1,655,0.925,2
"46","Steve","Mason","G",61,33,1751,2.5,1606,0.917,4
"47","Reto","Berra","G",31,9,820,3.07,732,0.893,0
"48","James","Reimer","G",36,12,1095,3.29,997,0.911,1
"49","Jhonas","Enroth","G",28,4,834,2.82,760,0.911,0
"50","Jonathan","Bernier","G",55,26,1787,2.68,1649,0.923,1
"51","Jeff","Zatkoff","G",20,12,582,2.61,531,0.912,1
"52","Semyon","Varlamov","G",63,41,2013,2.41,1867,0.927,2
"53","Michal","Neuvirth","G",15,4,517,2.78,476,0.921,0
"54","Richard","Bachman","G",3,0,83,3.02,76,0.916,0
"55","Cedrick","Desjardins","G",1,0,13,6.67,11,0.846,0
"56","Jonas","Hiller","G",50,29,1348,2.48,1228,0.911,5
"57","John","Curry","G",2,1,57,3,53,0.93,0
"58","Antti","Niemi","G",64,39,1705,2.39,1556,0.913,4
"59","Jacob","Markstrom","G",16,2,361,3.39,315,0.873,0
"60","Michael","Hutchinson","G",3,2,88,1.64,83,0.943,0
"61","Braden","Holtby","G",48,23,1475,2.85,1349,0.915,4
"62","Dustin","Tokarski","G",3,2,93,1.84,88,0.946,1
"63","Kevin","Poulin","G",28,11,820,3.29,731,0.891,0
"64","Joacim","Eriksson","G",1,0,31,10,25,0.806,0
"65","Anders","Lindback","G",23,8,580,2.9,517,0.891,1
"66","Nathan","Lawson","G",1,0,10,10,8,0.8,0
"67","Martin","Jones","G",19,12,500,1.81,467,0.934,4
"68","Anders","Nilsson","G",19,8,548,3.11,491,0.896,0
"69","Robin","Lehner","G",36,12,1141,3.06,1042,0.913,1
"70","Matt","Hackett","G",8,1,239,3.1,217,0.908,0
"71","Joni","Ortio","G",9,4,193,2.51,172,0.891,0
"72","Connor","Knapp","G",2,0,32,3.12,28,0.875,0
"73","Darcy","Kuemper","G",26,12,702,2.43,642,0.915,2
"74","Jonas","Gustavsson","G",27,16,735,2.63,667,0.907,0
"75","Carter","Hutton","G",40,20,1006,2.62,915,0.91,1
"76","Cam","Talbot","G",21,12,560,1.64,527,0.941,3
"77","Eddie","Lack","G",41,16,1052,2.41,959,0.912,4
"78","Ben","Scrivens","G",40,16,1205,2.55,1111,0.922,4
"79","Sergei","Bobrovsky","G",58,32,1699,2.38,1568,0.923,5
"80","Kent","Simpson","G",1,0,7,6,5,0.714,0
"81","Mark","Visentin","G",1,0,32,3.05,29,0.906,0
"82","Jack","Campbell","G",1,0,47,6,41,0.872,0
"83","Sami","Aittokallio","G",1,0,18,4.5,15,0.833,0
"84","Philipp","Grubauer","G",17,6,469,2.38,434,0.925,0
"85","Petr","Mrazek","G",9,2,178,1.74,165,0.927,2
"86","Frederik","Andersen","G",28,20,783,2.29,723,0.923,0
"87","Nathan","Lieuwen","G",7,1,191,2.98,173,0.906,0
"88","Magnus","Hellberg","G",1,0,4,5,3,0.75,0
"89","John","Gibson","G",3,3,87,1.33,83,0.954,1
"90","Calvin","Heeter","G",1,0,38,4.69,33,0.868,0
"91","Viktor","Fasth","G",12,5,340,2.82,307,0.903,0
"92","Niklas","Svedberg","G",1,1,35,1.97,33,0.943,0
"93","Cristopher","Nilstorp","G",1,0,17,4.62,14,0.824,0
"94","Marek","Mazanec","G",25,8,650,2.8,586,0.902,2
"95","Andrew","Hammond","G",1,0,11,0,11,1,0
"96","Antti","Raanta","G",25,13,610,2.71,547,0.897,1
"97","Kristers","Gudlevskis","G",1,1,38,2,36,0.947,0
